carat,cut,color,clarity,x,y,z,depth,table,price
0.96,Fair,H,I1,6.15,6.04,4.09,66.9,60,1705
0.43,Premium,F,VS2,4.9,4.86,2.98,61.1,57,968
1.01,Good,E,VS2,6.32,6.36,3.96,62.5,58,6221
0.37,Very Good,E,VVS1,4.65,4.67,2.84,60.9,56,1055
0.3,Ideal,H,VVS2,4.28,4.31,2.65,61.9,56,542
0.42,Very Good,I,VVS2,4.81,4.85,2.98,61.7,55,771
0.3,Ideal,D,SI2,4.4,4.37,2.64,60.2,56,574
0.77,Premium,J,SI1,5.86,5.82,3.61,61.8,59,2010
1.01,Premium,I,VS2,6.39,6.44,4.01,62.5,58,4592
0.7,Ideal,F,VS2,5.69,5.79,3.49,60.8,59,2850
0.51,Ideal,G,VS1,5.15,5.18,3.16,61.3,55.7,1595
0.73,Ideal,D,VS2,5.76,5.8,3.56,61.6,56,4134
0.41,Ideal,D,VS1,4.82,4.78,2.93,61,57,1230
1.01,Good,F,SI1,6.52,6.48,3.73,57.4,57,4632
0.9,Very Good,E,VS2,6.14,6.23,3.84,62.1,55,4919
0.54,Very Good,I,SI1,5.2,5.24,3.2,61.3,60,1079
1.2,Very Good,G,SI1,6.74,6.79,4.19,61.9,58,7372
0.38,Ideal,G,VS1,4.63,4.68,2.9,62.3,55,817
1.34,Premium,H,VS2,7.05,7.02,4.38,62.3,60,7816
0.9,Premium,F,SI2,6.1,6.06,3.74,61.5,61,3507
0.33,Ideal,E,SI1,4.41,4.43,2.74,62,54,579
0.4,Ideal,G,VVS1,4.75,4.77,2.94,61.8,53,1059
0.71,Premium,G,SI2,5.91,5.88,3.43,58.2,60,1902
0.43,Premium,G,VS2,4.83,4.86,2.97,61.3,58,867
0.7,Ideal,I,VS1,5.66,5.74,3.57,62.7,53.4,2363
0.54,Ideal,H,VS1,5.25,5.31,3.23,61.2,55,1454
0.59,Premium,J,VS2,5.35,5.28,3.33,62.7,61,1055
0.53,Ideal,E,VS1,5.19,5.24,3.22,61.6,55.6,2019
0.57,Ideal,H,VVS1,5.36,5.38,3.27,60.9,56,1949
1.01,Ideal,E,VS2,6.39,6.42,4,62.5,54,7597
0.32,Very Good,F,VVS2,4.37,4.39,2.76,63,56,721
0.31,Ideal,F,VS2,4.3,4.33,2.69,62.3,55,625
0.33,Ideal,H,VVS1,4.46,4.5,2.78,62.1,55,730
0.25,Very Good,D,VVS2,4.07,4.12,2.51,61.3,59,575
0.71,Ideal,G,SI1,5.77,5.79,3.54,61.2,58,2400
0.77,Very Good,F,VVS1,5.91,5.94,3.62,61.1,57,4304
0.39,Ideal,D,VS1,4.67,4.71,2.91,62,57,1095
1.7,Very Good,J,VS1,7.54,7.67,4.79,62.9,58,10165
0.34,Ideal,H,VS1,4.48,4.51,2.79,62.1,57,596
0.4,Good,E,SI1,4.66,4.69,2.98,63.7,56,687
0.5,Very Good,E,SI1,5.06,5.1,3.12,61.4,63,1128
0.54,Ideal,I,SI1,5.25,5.28,3.26,61.9,54,1057
1.07,Very Good,I,VS2,6.5,6.53,4.07,62.5,56,4873
0.59,Very Good,F,IF,5.31,5.36,3.35,62.8,56,2554
1.08,Good,H,VVS1,6.52,6.57,4.13,63.1,57,6504
1.57,Premium,I,SI2,7.53,7.51,4.58,60.9,58,7484
0.75,Good,E,SI1,5.75,5.77,3.65,63.4,57,2674
0.9,Ideal,H,VS1,6.22,6.19,3.85,62,56,4234
0.72,Premium,F,VS2,5.71,5.75,3.59,62.7,59,2584
1,Premium,F,VS2,6.37,6.29,3.94,62.2,59,6328
0.9,Premium,D,VS1,6.27,6.25,3.83,61.2,58,6441
0.31,Very Good,F,SI1,4.33,4.3,2.74,63.5,56,663
0.54,Premium,D,SI1,5.21,5.12,3.23,62.6,57,1650
0.9,Very Good,I,VVS1,6.09,6.12,3.87,63.4,57,3872
1.05,Ideal,D,SI2,6.49,6.52,4.04,62.1,58,5702
0.5,Ideal,H,SI1,5.07,5.09,3.17,62.4,56,1140
1.7,Ideal,J,VS2,7.73,7.74,4.68,60.5,58,10002
0.41,Premium,G,VS1,4.77,4.73,2.97,62.5,59,961
0.4,Ideal,J,VVS1,4.73,4.75,2.96,62.4,54,704
0.33,Premium,E,VS1,4.42,4.46,2.73,61.5,59,781
0.9,Good,E,VS1,6.12,6.07,3.95,64.8,54,4353
0.71,Premium,F,VS1,5.76,5.72,3.51,61.1,58,2942
0.32,Ideal,I,VS2,4.39,4.34,2.75,63,55,576
0.33,Premium,G,VVS1,4.4,4.43,2.74,62.1,58,868
0.57,Premium,D,VS2,5.35,5.32,3.3,61.9,58,2047
0.45,Very Good,G,VVS1,4.9,4.97,3.07,62.2,58,1327
0.31,Premium,F,VS2,4.34,4.29,2.69,62.3,59,802
0.33,Ideal,G,VS2,4.47,4.44,2.77,62.2,56,743
0.96,Premium,G,SI2,6.32,6.28,3.85,61.1,59,4059
1.5,Premium,H,VS2,7.34,7.36,4.47,60.8,59,10291
1.76,Very Good,G,VS1,7.7,7.74,4.85,62.8,55.4,18014
1.02,Ideal,H,SI2,6.51,6.54,3.96,60.7,57,4319
1.21,Premium,I,SI1,6.89,6.84,4.23,61.6,58,5353
0.22,Premium,D,VS2,3.91,3.88,2.31,59.3,62,404
1.01,Very Good,F,VVS1,6.37,6.41,3.97,62.1,58,9908
0.34,Ideal,E,VVS2,4.52,4.54,2.76,60.9,56,838
1.8,Ideal,D,SI2,7.77,7.74,4.88,62.9,54,7862
1.02,Ideal,F,SI1,6.55,6.51,3.94,60.3,60,5195
1.05,Premium,G,SI2,6.51,6.48,4.07,62.7,54,4018
0.7,Very Good,D,VS2,5.67,5.71,3.46,60.8,59,2928
0.34,Ideal,G,IF,4.51,4.54,2.8,61.9,55,974
0.31,Ideal,E,VVS1,4.36,4.39,2.69,61.5,56,865
0.57,Ideal,G,VS1,5.29,5.31,3.31,62.5,54.2,1943
0.71,Good,E,VS1,5.8,5.89,3.47,59.4,61,3464
0.91,Good,G,VS2,6.1,6.14,3.89,63.6,58,4257
1.24,Premium,F,VVS2,6.95,6.88,4.29,62,55,11231
0.33,Very Good,F,VVS1,4.53,4.56,2.73,60.1,56,841
0.42,Ideal,G,VS1,4.8,4.83,3.02,62.7,54,921
1.52,Ideal,H,VS2,7.42,7.43,4.59,61.8,54,11379
0.5,Premium,G,VS1,5.15,5.19,3.09,59.8,58,1624
2.46,Premium,E,SI2,8.82,8.76,5.25,59.7,59,10470
0.52,Very Good,E,VS1,5.11,5.14,3.21,62.6,56,1822
1.03,Ideal,G,SI1,6.53,6.46,4,61.6,57,4900
0.37,Very Good,H,VVS2,4.54,4.56,2.83,62.2,59,746
1.05,Ideal,E,VS2,6.54,6.55,4.04,61.7,55,9624
0.46,Ideal,H,SI1,4.97,5.01,3.05,61.1,55,1130
0.41,Very Good,D,VS1,4.76,4.8,2.95,61.7,58,1018
1.5,Premium,F,VS1,7.33,7.28,4.55,62.3,58,15291
1.01,Very Good,G,VS2,6.35,6.4,4,62.9,54,6773
1.21,Ideal,E,VS1,6.83,6.8,4.24,62.2,57,8348
1.22,Premium,G,VS1,6.82,6.87,4.26,62.2,59,8583
1.11,Good,E,SI1,6.62,6.66,4.08,61.4,57.5,6178
1.23,Premium,F,SI2,7.02,6.96,4.19,59.9,58,5841
0.3,Ideal,G,IF,4.26,4.29,2.66,62.2,56,850
0.74,Ideal,G,VS1,5.85,5.8,3.6,61.8,55,2960
0.3,Ideal,D,SI1,4.34,4.3,2.68,62,56,709
0.32,Ideal,J,IF,4.37,4.41,2.73,62.2,56,533
0.25,Very Good,E,VVS1,4.16,4.19,2.41,57.7,62,548
1.15,Premium,I,SI1,6.72,6.68,4.19,62.5,60,4939
1.74,Ideal,E,SI2,7.8,7.7,4.83,62.3,57,10085
0.8,Premium,E,SI2,6.03,5.99,3.55,59.1,61,2304
0.32,Very Good,G,VS2,4.36,4.39,2.71,61.9,56,576
1.57,Premium,H,VS2,7.54,7.5,4.59,61,59,11575
0.37,Ideal,E,VS1,4.6,4.65,2.86,61.6,54,858
0.3,Ideal,G,SI2,4.27,4.3,2.66,62.1,58,422
0.4,Good,D,SI1,4.68,4.71,2.97,63.3,57,720
1.01,Very Good,D,SI2,6.39,6.46,3.95,61.5,56,4719
2.01,Fair,H,SI2,7.88,7.81,5.09,64.9,56,10184
2.01,Fair,H,SI2,7.88,7.81,5.09,64.9,56,10184
0.31,Ideal,D,VS1,4.3,4.36,2.69,62.1,56,704
0.33,Ideal,D,VVS2,4.44,4.46,2.72,61.1,56,955
1.09,Premium,H,VS2,6.64,6.58,4.06,61.4,58,5677
0.71,Ideal,G,VS2,5.73,5.76,3.55,61.8,56,3299
0.71,Ideal,F,VS1,5.73,5.76,3.57,62.1,57,3066
0.31,Ideal,D,VS1,4.43,4.39,2.67,60.5,55,877
0.3,Ideal,F,IF,4.35,4.36,2.65,60.8,56,892
0.7,Good,F,SI1,5.55,5.49,3.55,64.3,62,1878
1.02,Very Good,F,VS1,6.46,6.52,3.98,61.3,58,7740
1.4,Very Good,G,VS1,7.31,7.34,4.39,59.9,56,11584
0.34,Very Good,F,VS1,4.51,4.54,2.76,61.1,57,739
1.13,Very Good,I,SI2,6.85,6.82,4.04,59.1,63,3987
0.41,Ideal,F,SI1,4.73,4.69,2.96,62.8,57,969
0.52,Ideal,D,SI1,5.14,5.12,3.23,63,57,1605
0.31,Very Good,G,SI1,4.32,4.38,2.73,62.8,55,462
0.41,Good,F,VVS1,4.71,4.74,3.02,63.9,56,915
0.3,Ideal,I,SI1,4.32,4.35,2.7,62.3,56,394
0.37,Premium,E,VS2,4.68,4.66,2.75,58.9,61,1041
1,Fair,H,VS1,6.52,6.47,3.73,57.4,68,4368
0.31,Ideal,D,VS2,4.34,4.37,2.68,61.5,56,734
0.52,Very Good,E,VS2,5.07,5.12,3.21,63,58,1641
0.58,Very Good,E,VS2,5.41,5.44,3.27,60.3,57,1608
1.02,Ideal,D,SI2,6.43,6.38,4,62.5,57,4044
0.41,Premium,E,SI2,4.83,4.79,2.95,61.3,57,876
0.41,Ideal,E,VS2,4.74,4.78,2.94,61.8,56,935
1,Premium,G,VS1,6.39,6.3,3.95,62.3,58,6290
0.41,Ideal,E,VVS1,4.8,4.76,2.93,61.3,55,1431
1.32,Ideal,D,VVS2,7.16,7.23,4.27,59.3,59,15802
0.42,Ideal,G,VVS2,4.84,4.88,3,61.7,56,1571
1.02,Very Good,E,SI1,6.48,6.54,3.94,60.5,63,4813
0.73,Very Good,E,SI1,5.81,5.86,3.51,60.2,60,2564
0.83,Ideal,E,SI2,6.04,6.08,3.75,61.9,53,3103
1.01,Ideal,E,SI1,6.43,6.39,4,62.4,56,5599
0.3,Good,G,VS2,4.24,4.29,2.71,63.5,58,456
0.34,Ideal,G,VVS2,4.48,4.44,2.77,62.1,55,995
0.52,Premium,D,VS2,5.15,5.2,3.2,61.8,58,1774
0.47,Good,F,VS1,5.04,5.09,2.99,59,60.2,1243
2.01,Fair,G,SI2,7.8,7.73,5.05,65,60,13721
0.81,Very Good,I,VS2,5.97,5.95,3.6,60.4,63,2616
0.72,Ideal,D,SI2,5.76,5.8,3.54,61.2,57,2328
0.7,Very Good,D,SI1,5.69,5.73,3.56,62.3,58,2804
0.24,Ideal,D,VS1,3.92,4,2.48,62.6,57,687
0.51,Ideal,G,VVS1,5.14,5.1,3.19,62.3,55,2111
2.01,Very Good,I,VS1,8.03,7.93,5.07,63.5,59,14792
0.31,Good,E,SI1,4.33,4.36,2.75,63.3,55,544
1,Premium,G,SI2,6.49,6.44,3.97,61.5,56,3142
0.31,Good,H,VVS1,4.33,4.3,2.75,63.7,56,786
0.3,Good,H,SI1,4.24,4.27,2.72,63.9,55,421
0.31,Premium,G,VVS1,4.33,4.4,2.64,60.5,60,816
0.45,Good,E,SI1,4.86,4.81,3.09,63.9,57,1063
0.3,Very Good,H,SI1,4.29,4.27,2.71,63.3,56,554
0.8,Premium,F,VS2,5.98,6.03,3.7,61.6,58,3429
0.71,Very Good,E,VS2,5.65,5.7,3.56,62.7,59,2830
1.01,Premium,F,VS1,6.54,6.5,3.94,60.4,59,7409
0.41,Premium,G,VS2,4.8,4.83,2.93,60.9,58,827
1.01,Ideal,G,SI1,6.46,6.43,3.98,61.8,55,5141
0.3,Premium,G,VS1,4.28,4.24,2.65,62.2,59,776
0.3,Very Good,F,VS1,4.31,4.34,2.66,61.5,56,654
0.33,Ideal,G,IF,4.51,4.48,2.77,61.6,55,1052
0.35,Very Good,E,VS2,4.51,4.55,2.78,61.4,58,665
0.73,Ideal,G,VVS2,5.74,5.81,3.61,61.9,56,3183
1.25,Premium,G,VS1,7.03,6.92,4.23,60,61,8736
0.7,Fair,G,SI1,5.64,5.58,3.54,63.1,57,2150
0.23,Very Good,D,VVS1,3.9,3.93,2.48,63.3,57,478
1.13,Premium,G,SI2,6.78,6.71,4.05,60,61,4518
0.9,Good,F,SI1,5.97,5.99,3.83,64,59,3696
0.5,Ideal,I,SI1,5.18,5.15,3.09,59.8,59,1031
0.31,Premium,H,VVS2,4.31,4.36,2.7,62.3,60,625
0.3,Ideal,H,VS1,4.33,4.31,2.65,61.3,56,675
0.59,Premium,D,VVS2,5.4,5.34,3.36,62.6,58,2538
0.77,Premium,G,SI1,5.85,5.88,3.67,62.6,58,2528
0.72,Premium,G,VS1,5.71,5.66,3.51,61.7,59,2685
0.81,Premium,H,SI2,5.98,5.92,3.7,62.2,56,2534
0.33,Very Good,G,VVS1,4.38,4.44,2.77,62.8,59,868
0.86,Very Good,J,SI2,6.05,5.97,3.79,63.2,61,1950
0.5,Ideal,E,SI2,5.09,5.04,3.19,63,57,1181
0.71,Ideal,I,SI2,5.72,5.74,3.53,61.6,56,1947
0.75,Premium,E,VS2,5.9,5.79,3.63,62.1,57,3024
0.83,Very Good,D,IF,6.14,6.23,3.69,59.7,53,7889
0.61,Very Good,D,VS1,5.44,5.46,3.4,62.4,57,2096
1.05,Ideal,G,VS1,6.56,6.59,4.04,61.5,55,7247
0.41,Ideal,F,VS1,4.77,4.75,2.98,62.6,55,1076
0.31,Ideal,G,VVS1,4.38,4.34,2.69,61.7,57,1046
1.08,Ideal,E,VVS2,6.64,6.67,4.06,61,56,11166
0.4,Fair,D,SI1,4.63,4.68,3.03,65.1,55,644
0.52,Ideal,G,VVS1,5.15,5.18,3.2,62,55,2029
0.51,Ideal,F,VS2,5.14,5.11,3.14,61.3,56,1562
1.5,Very Good,G,VS2,7.39,7.43,4.48,60.5,57,12014
0.41,Ideal,D,SI1,4.78,4.73,2.94,61.8,56,1122
2.04,Premium,J,VS2,8.04,8.14,4.97,61.4,59,13477
0.32,Ideal,H,VS1,4.42,4.41,2.73,61.8,55,720
0.33,Very Good,H,IF,4.43,4.45,2.74,61.7,59,787
0.51,Ideal,H,VS2,5.07,5.1,3.2,62.9,57,1397
1.01,Good,G,VS2,6.3,6.35,4,63.2,57,5599
0.71,Very Good,E,SI1,5.8,5.85,3.51,60.3,58,2570
1.53,Ideal,E,SI1,7.39,7.44,4.54,61.2,58,13324
1.52,Premium,D,SI1,7.59,7.55,4.48,59.2,61,12823
0.32,Ideal,G,VS1,4.39,4.43,2.73,61.9,55,645
0.5,Ideal,I,VVS1,5.1,5.13,3.15,61.6,56,1747
0.71,Ideal,G,VS2,5.73,5.68,3.59,62.9,56,2443
0.71,Very Good,F,VS1,5.69,5.72,3.58,62.8,56,2889
0.39,Ideal,D,VVS2,4.79,4.77,2.87,60,56,1088
2.29,Ideal,J,SI2,8.36,8.39,5.25,62.8,56,14500
0.24,Very Good,E,VVS1,3.94,3.96,2.48,62.8,59,485
0.7,Good,G,SI1,5.57,5.51,3.54,63.9,58,2218
1.01,Very Good,F,VS2,6.45,6.5,3.98,61.5,54,7370
0.79,Premium,E,VS2,6.08,6.05,3.6,59.4,60,3230
0.5,Very Good,D,VS2,5.05,5.08,3.21,63.4,57,1627
1.01,Premium,F,SI1,6.44,6.39,3.96,61.7,58,5202
2.03,Premium,J,SI1,8.12,8.06,5.02,62.1,59,12979
1.06,Premium,D,SI1,6.69,6.63,3.92,58.9,61,5983
1.5,Premium,E,SI1,7.41,7.24,4.5,61.4,59,11638
0.4,Ideal,G,SI2,4.73,4.74,2.94,62.1,55,926
0.72,Ideal,F,SI1,5.76,5.78,3.58,62,55,2737
0.75,Ideal,F,SI1,5.87,5.9,3.58,60.8,57,3610
1.07,Very Good,G,VS1,6.63,6.67,4.07,61.2,55,6780
1.01,Good,D,VS1,6.34,6.37,4.01,63.1,59,7955
0.31,Very Good,G,SI2,4.3,4.34,2.67,61.8,59,408
0.76,Ideal,D,VS2,5.95,5.92,3.57,60.2,56,3293
0.35,Ideal,I,IF,4.56,4.6,2.8,61.1,56,715
0.8,Ideal,F,VS1,5.92,5.88,3.68,62.4,55,3884
1.01,Ideal,E,SI1,6.43,6.4,3.95,61.6,59,5590
0.3,Ideal,F,IF,4.29,4.31,2.68,62.3,57,886
1.5,Ideal,I,IF,7.34,7.41,4.52,61.3,56,12725
0.5,Ideal,F,SI1,5.09,5.06,3.18,62.7,57,1378
0.4,Very Good,F,IF,4.73,4.77,2.9,61.1,57,1217
0.37,Good,D,SI1,4.59,4.55,2.91,63.7,55,874
0.5,Very Good,D,VS2,5.02,5.08,3.17,62.8,60,1627
0.72,Ideal,H,VS1,5.78,5.81,3.58,61.8,55,3167
0.32,Premium,H,VVS1,4.37,4.42,2.7,61.4,58,730
0.25,Very Good,E,VVS2,4,4.03,2.53,63,55,575
0.33,Premium,F,VS2,4.39,4.44,2.74,62.1,59,666
1.7,Premium,I,SI2,7.83,7.75,4.63,59.4,59,7250
1.5,Ideal,H,SI1,7.34,7.29,4.54,62,55,11189
1.02,Ideal,F,SI2,6.49,6.43,3.99,61.8,57,4832
1.5,Premium,H,SI2,7.41,7.35,4.51,61.1,59,6250
0.44,Premium,E,VS2,4.81,4.91,3.03,62.3,59,1003
0.51,Ideal,F,VS2,5.13,5.16,3.16,61.4,56,1569
0.33,Ideal,F,IF,4.47,4.44,2.74,61.5,55,1114
0.3,Good,G,VS1,4.28,4.25,2.72,63.8,55,776
1.18,Ideal,E,SI2,6.89,6.83,4.17,60.8,57,4885
0.5,Ideal,J,VS1,5.06,5.09,3.17,62.5,57,1082
0.7,Premium,F,SI1,5.7,5.73,3.52,61.6,58,2441
0.5,Very Good,E,SI1,5.03,5.07,3.18,63,61,1279
0.93,Premium,D,SI1,6.3,6.24,3.81,60.8,60,3812
2,Very Good,I,SI1,8.24,8.28,4.83,58.5,58,15249
1.06,Very Good,H,VS2,6.49,6.56,4.07,62.4,56,5480
1.05,Very Good,G,SI2,6.52,6.49,4.11,63.2,54,4318
0.59,Ideal,G,SI1,5.37,5.39,3.32,61.8,56,1718
0.31,Premium,G,VS2,4.37,4.32,2.66,61.2,58,698
1,Good,H,SI1,6.29,6.35,3.89,61.6,61,4405
1.03,Fair,H,SI2,6.35,6.25,4.18,66.3,57,3749
0.29,Very Good,F,VVS1,4.31,4.35,2.59,59.8,61,609
0.7,Premium,D,VS1,5.66,5.61,3.47,61.6,61,3001
0.3,Ideal,G,IF,4.3,4.33,2.68,62.1,54,863
0.32,Ideal,D,VS2,4.41,4.39,2.69,61.1,56,972
1.05,Very Good,H,VS2,6.42,6.48,4.08,63.3,58,5236
0.53,Ideal,G,VVS2,5.19,5.26,3.21,61.4,57,1948
0.95,Ideal,H,SI1,6.31,6.35,3.92,61.9,56,4958
2.11,Premium,D,SI2,8.45,8.41,4.95,58.7,60,15198
1.5,Premium,G,I1,7.4,7.32,4.45,60.4,55,4140
0.51,Premium,D,VS1,5.24,5.21,3.11,59.5,57,1873
0.41,Very Good,F,VVS2,4.79,4.83,2.9,60.3,58,1115
1.07,Ideal,I,VS2,6.66,6.6,4.05,61.1,57,4319
1.01,Ideal,F,SI1,6.38,6.42,4,62.5,56,4969
0.93,Very Good,J,VS1,6.22,6.26,3.93,63,53,3651
0.7,Ideal,F,SI1,5.67,5.69,3.49,61.4,57,2573
1.52,Very Good,J,SI1,7.32,7.38,4.58,62.3,57,7239
2.23,Premium,J,SI2,8.4,8.35,5.13,61.3,60,13931
1.06,Premium,E,SI2,6.64,6.59,3.97,60,59,3989
0.7,Very Good,D,VVS1,5.63,5.64,3.57,63.4,59,4362
0.31,Ideal,G,VVS1,4.35,4.39,2.71,62,53,789
0.51,Good,F,SI1,5.03,5.02,3.22,64.1,58,1274
1,Good,H,SI2,6.28,6.24,4,63.8,55,3640
1.01,Ideal,H,SI1,6.38,6.47,3.99,62.1,56,4886
0.35,Premium,E,SI1,4.57,4.52,2.76,60.7,59,788
0.83,Premium,J,SI1,6.17,6.1,3.64,59.3,59,2022
0.93,Premium,D,SI2,6.27,6.22,3.87,62,56,4692
1.03,Premium,H,I1,6.46,6.51,3.96,61.1,60,3172
2.02,Good,I,VS2,8.28,8.36,4.82,57.9,62,16593
1.5,Ideal,F,SI2,7.28,7.26,4.57,62.9,55,9996
2.09,Ideal,I,VS2,8.13,8.17,5.1,62.5,56,17999
0.71,Premium,D,SI1,5.74,5.69,3.52,61.6,60,2797
1.05,Ideal,E,SI1,6.48,6.5,4.03,62.1,57,5436
2.09,Premium,H,SI2,8.17,8.22,5.09,62.1,58,17001
0.53,Ideal,D,VS2,5.23,5.2,3.19,61.2,56,1956
1.12,Ideal,H,VS2,6.7,6.64,4.12,61.8,55,6222
0.57,Premium,I,VS1,5.33,5.28,3.27,61.6,58,1212
0.46,Premium,E,VS2,4.95,4.91,3.03,61.5,60,1173
0.4,Very Good,F,VS1,4.68,4.7,2.96,63.1,56,895
0.51,Very Good,F,VS1,5.16,5.1,3.13,61,59,1706
0.5,Very Good,J,VS2,5.07,5.02,3.2,63.4,58,1023
1.23,Very Good,F,VS1,7.06,7.09,4.18,59.1,58,9694
0.4,Good,H,VS2,4.75,4.66,2.97,63.1,62,717
1.04,Ideal,H,SI1,6.49,6.44,3.96,61.3,55,3984
0.55,Ideal,F,VVS2,5.28,5.31,3.24,61.1,57,2629
1.71,Ideal,H,VS2,7.64,7.7,4.76,62.1,56,14017
1.16,Ideal,G,IF,6.73,6.79,4.21,62.3,55,9901
1.31,Premium,F,SI2,7.03,6.86,4.36,62.7,61,4743
1.01,Ideal,H,SI1,6.37,6.43,3.98,62.2,58,4773
0.5,Good,D,SI1,5.05,5.09,3.23,63.7,56,1436
